CaseID,concern_bomb,concern_cyber,severity_bomb,severity_cyber,publicKnow_bomb,publicKnow_cyber,expertKnow_bomb,expertKnow_cyber,cas_bomb,cas_cyber,likely_bomb,likely_cyber,risk_bomb,risk_cyber,DOV_XPARTY7,DOV_IDEO,DOV_REL2,PPAGE,ppagect4,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPREG4,ppreg9,PPNET,KnowGen,Pol_econ,Pol_survMusl,Pol_force,Pol_screenUS,Pol_screenForg,Pol_immig,Pol_refugME,Pol_trackPh,issue_econ,issue_immig,issue_debt,issue_energy,issue_health,issue_climate,issue_terror,issue_envi,issue_ineq,issue_women,inform_papers,inform_Fox,inform_CNN,inform_MSNBC,inform_network,inform_online,inform_radio,inform_socialMedia,safetyGen,Fear_self,Fear_family,Fear_friend
1258,2,1,3,2,3,2,2,2,4,3,2,1,3,3,5,2,6,38,2,4,1,1,13,1,2,0,2,4,1,2,4,5,2,3,5,3,1,2,2,2,2,2,2,3,2,1,1,1,1,2,1,1,1,3,1,1,1
1259,2,3,3,4,2,1,2,2,3,5,3,2,3,3,3,5,2,72,4,3,1,1,16,2,4,1,2,2,2,1,4,5,5,4,3,3,4,4,2,2,3,4,3,2,3,3,3,2,1,3,2,4,2,4,2,2,2
1260,2,2,4,4,3,3,2,2,3,3,2,2,3,3,7,4,2,46,3,3,2,1,14,3,5,1,2,3,1,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,1,1,2,2,3,2,3,3,3,2,2,2
1261,2,1,3,3,3,1,3,2,3,2,2,1,3,3,5,4,5,50,3,4,3,0,16,2,3,1,2,2,1,1,2,2,2,3,2,4,1,3,2,4,3,3,2,2,2,1,1,4,1,2,1,2,2,3,2,2,2
1262,1,1,2,4,1,1,1,1,2,5,1,1,1,2,7,1,6,30,2,4,1,0,19,4,9,1,2,4,1,,1,1,1,1,1,3,1,2,3,3,4,1,4,4,3,1,1,2,1,1,2,1,3,1,1,1,1
1263,2,3,3,4,2,1,2,3,3,5,3,4,3,5,3,5,4,28,1,4,1,0,11,3,5,1,1,2,2,1,3,3,4,2,4,2,2,1,1,3,1,4,3,2,4,1,2,2,2,4,2,2,4,2,1,2,2
1264,3,2,4,4,4,4,1,1,5,4,4,1,5,1,7,2,4,52,3,3,2,1,8,3,5,1,4,1,2,4,5,5,5,5,1,4,4,4,2,4,1,4,4,4,4,2,2,2,2,4,2,2,4,4,1,1,1
1265,4,3,4,3,1,1,3,1,4,5,4,3,4,2,3,7,2,74,4,4,1,0,16,1,2,1,4,1,4,4,5,5,5,5,3,3,4,4,1,1,1,3,1,1,4,1,4,2,1,1,1,3,2,2,1,1,1
1266,4,3,4,4,2,2,3,3,4,5,4,3,3,3,2,4,4,35,2,2,1,0,13,1,1,1,2,3,4,2,5,5,5,5,5,3,4,4,4,3,3,4,3,2,2,2,3,1,2,1,2,2,2,4,4,4,4
1267,2,2,3,3,3,2,2,3,2,4,2,1,3,1,6,5,4,68,4,3,1,1,13,3,5,1,2,1,1,3,4,4,1,1,1,2,2,2,2,4,3,2,3,3,2,2,1,1,1,1,1,2,1,3,1,2,1
1268,1,1,2,4,1,1,3,3,2,3,2,2,1,3,7,4,3,49,3,4,1,0,15,4,8,1,3,2,2,1,2,3,1,3,5,2,2,2,2,2,2,2,2,3,2,1,1,1,2,3,4,4,1,1,1,1,1
1270,2,1,3,3,2,2,4,4,3,5,1,1,2,2,1,6,1,40,2,4,1,0,13,4,9,1,3,2,1,1,2,4,3,2,4,3,3,3,3,3,1,3,2,1,2,1,2,2,2,2,3,2,2,3,2,2,1
1272,,,,,,,,,,,,,,,5,1,5,59,3,3,2,0,1,3,5,0,,,,,,,,,,,,,,,,,,4,,,4,,,,,4,,,,,
1273,2,2,4,4,2,1,2,2,3,4,3,2,4,4,1,4,4,54,3,3,1,1,14,2,3,1,2,2,3,2,3,4,4,4,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,1,2,4,2,2,2
